osisId,verse_lexical_id,position,code_ordinal,strong,morph_code,role,status,surface,language,testament,is_negator,narrative_morph,gloss_consistent_in_verse,party_kind,cluster,resolved_sense
Ps.94.22,415054,0,1,H1961,HVqw3ms,content,resolved,Lord,Hebrew,OT,,wayyiqtol,1,,Supplementary,"stepGloss: to be — to be, become, come to pass, exist, happen, fall out; ---; to happen, fall out, occur, take place, come about, come to pass; to come about, come to pass; to come into being, become; to arise, appear, come; to become; to become; to become like; to be instituted, be established; to be; to exist, be in existence; to abide, remain, continue (with word of place or time); to stand, lie, be in, be at, be situated (with word of locality); to accompany, be with"
Ps.94.22,415055,1,0,H4869A,HNcmsa,content,resolved,stronghold,Hebrew,OT,,,1,,,"stepGloss: high refuge — high place, refuge, secure height, retreat; stronghold; refuge (of God)"
Ps.94.22,415056,1,1,H9005,HR,function,resolved,stronghold,Hebrew,OT,,,1,,,stepGloss: to/for — Prefix lamed: to
Ps.94.22,415057,1,2,H9005,HR,function,resolved,stronghold,Hebrew,OT,,,1,,,stepGloss: to/for — Prefix lamed: to
Ps.94.22,415058,1,3,H9030,HSp1bs,function,resolved,stronghold,Hebrew,OT,,,1,,Supplementary,stepGloss: me — Personal object pronoun - suffix for propositions and verbs without an object: 1st person singular
Ps.94.22,415059,2,0,H0430G,HNcmpc,content,resolved,God,Hebrew,OT,,,1,divine,Party-Divine,"stepGloss: God — The Deity;; called LORD or LORD (KJV= Jehovah) (יהוה); or LORD (KJV= Jehovah) (יְהֹוִה); or LORD (יָהּ); or Lord (אֲדֹנָי); or God (KJV= Elohim) (אֱלֹהִים); or Baal (KJV= Baali; NIV= Master) (בַּעֲלִי); or Almighty (שַׁדַּי); or Most High (עַל); or Most High (Aramiac עִלַּי); or Most High (KJV= ""most High"") or Most High (KJV= Highest) (עֶלְיוֹן); or Most High (Aramiac עֶלְיוֹן); or God/ Most High (KJV= ""most high God"") (אֵל עֶלְיוֹן); or God (אֵל=God); or El/-Elohe (אֵל אֱלֹהִים); or El/-Elohe Israel (=Alt tag) (אֵל אֱלֹהֵי יִשְׂרָאֵל); or Banner (KJV= Nissi) (נֵס); or Banner (KJV= Nissi) (=Alt tag) (יְהֹוָה נִסִּי); or Peace (KJV= Shalom) (שָׁלוֹם); or Peace (KJV= Shalom) (=Alt tag) (יְהֹוָה שָׁלוֹם); or Provider (KJV= Jireh) (יִרְאֶה); or Provider (KJV= Jireh) (=Alt tag) (יִרְאֶה); or LORD our Righteousness (NIV= Righteous Saviour) (צִדְקֵנוּ); or LORD our Righteousness (NIV= Righteous Saviour) (יְהֹוָה צִדְקֵנוּ (=Alt tag)); or Everlasting (NIV= Eternal) (עוֹלָם); or Jealous (קַנָּא); or Hosts (NIV= Almighty) (צָבָא); or Highest (ὕψιστος); or ""hosts"" (KJV= ""sabaoth;"" NIV= Almighty) (σαβαώθ); or Abba (ἀββά); or Eli (ἠλί); or Eloi (ἐλωΐ) §This name means ""gods"" (plural intensive-singular meaning), ""God"""
Ps.94.22,415060,2,1,H9002,HC,function,resolved,God,Hebrew,OT,,,1,,Connective,"stepGloss: and — Conjunctive vav - i.e. followed by prefix, suffix or non-verb (conjunctive) (‘and/but’)"
Ps.94.22,415061,3,0,H6697H,HNcmsc,content,resolved,rock,Hebrew,OT,,,1,,Supplementary,"stepGloss: rock — rock, cliff; rocky wall, cliff; rock (with flat surface); block of stone, boulder; rock (specific); rock (of God); rock (of heathen gods) n pr dei; Rock; Aramaic equivalent: tur (טוּר ""mountain"" H2906)"
Ps.94.22,415062,3,1,H9005,HR,function,resolved,rock,Hebrew,OT,,,1,,,stepGloss: to/for — Prefix lamed: to
Ps.94.22,415063,3,2,H9020,HSp1bs,function,resolved,rock,Hebrew,OT,,,1,,,"stepGloss: my — Personal possessive pronoun - suffix for nouns, adjectives and passive participles: 1st person singular"
Ps.94.22,415064,4,0,H4268,HNcmsc,content,resolved,refuge,Hebrew,OT,,,1,,Trust,"stepGloss: refuge — refuge, shelter; from rain or storm, from danger; of falsehood"
Ps.94.22,415065,4,1,H9020,HSp1bs,function,resolved,refuge,Hebrew,OT,,,1,,,"stepGloss: my — Personal possessive pronoun - suffix for nouns, adjectives and passive participles: 1st person singular"
Eccl.5.14,883118,0,0,H1931,HPp3ms,content,resolved,and those,Hebrew,OT,,,1,,Supplementary,"stepGloss: he/she/it — pron 3p s; he, she, it; himself (with emphasis); resuming subj with emphasis; (with minimum emphasis following predicate); (anticipating subj); (emphasising predicate); that, it (neuter) demons pron; that (with article)"
Eccl.5.14,883119,0,1,H9009,HTd,function,resolved,and those,Hebrew,OT,,,1,,,"stepGloss: [the] — Prefix hé article: ""the"" for a subject, not object"
Eccl.5.14,883120,1,0,H6239,HNcmsa,content,resolved,riches,Hebrew,OT,,,1,,Abundance,"stepGloss: riches — wealth, riches"
Eccl.5.14,883121,1,1,H9009,HTd,function,resolved,riches,Hebrew,OT,,,1,,,"stepGloss: [the] — Prefix hé article: ""the"" for a subject, not object"
Eccl.5.14,883122,2,0,H0006,HVqq3ms,content,resolved,lost,Hebrew,OT,,,1,,Operations,"stepGloss: to perish — perish, vanish, go astray, be destroyed; perish, die, be exterminated; perish, vanish (fig.); be lost, strayed"
Eccl.5.14,883123,3,0,H7451A,HAamsa,content,resolved,bad,Hebrew,OT,,,1,,Wickedness,"stepGloss: bad: harmful — adj; bad, evil; bad, disagreeable, malignant; bad, unpleasant, evil (giving pain, unhappiness, misery); evil, displeasing; bad (of its kind-land, water, etc); bad (of value); worse than, worst (comparison); sad, unhappy; evil (hurtful); bad, unkind (vicious in disposition); bad, evil, wicked (ethically); in general, of persons, of thoughts; deeds, actions"
Eccl.5.14,883124,4,0,H6045,HNcmsc,content,resolved,venture,Hebrew,OT,,,1,,Supplementary,"stepGloss: task — occupation, task, job"
Eccl.5.14,883125,4,1,H9003,HR,function,resolved,venture,Hebrew,OT,,,1,,,"stepGloss: in/on/with — Prefix beth: in, among, with"
Eccl.5.14,883126,5,0,H3205,HVhq3ms,content,resolved,father,Hebrew,OT,,,1,,Operations,"stepGloss: to beget — to bear, bringforth, beget, gender, travail; to beget (a child); to bear (fig. -of wicked bringing forth iniquity)"
Eccl.5.14,883127,6,0,H1121A,HNcmsa,content,resolved,son,Hebrew,OT,,,1,,,"stepGloss: son: child — A sub-meaning of ben (בֵּן "": child"" H1121); § : child/son"
Eccl.5.14,883128,7,0,H0369,HNcmsc,content,resolved,nothing,Hebrew,OT,,,1,,,"stepGloss: nothing — nothing, not, nought n; nothing, nought neg; not; to have not (of possession) adv; without w/prep; for lack of"
Eccl.5.14,883129,7,1,H9002,HC,function,resolved,nothing,Hebrew,OT,,,1,,Connective,"stepGloss: and — Conjunctive vav - i.e. followed by prefix, suffix or non-verb (conjunctive) (‘and/but’)"
Eccl.5.14,883130,7,2,H3972,HNcfsa,content,resolved,nothing,Hebrew,OT,,,1,,,stepGloss: anything — anything
Eccl.5.14,883131,8,0,H9023,HSp3ms,function,resolved,his,Hebrew,OT,,,1,,,"stepGloss: his — Personal possessive pronoun - suffix for nouns, adjectives and passive participles: 3rd person masculine singular"
