"strong","sense_label","gloss","note","row_type"
"G5548","I","graze","Epic dialect imperfect χρῖον : future χρίσω : aorist ἔχρῑσα , Epic dialect χρῖσα : perfect κέχρῑκα :— middle , future χρίσομαι aorist participle χρῑσάμενος:— passive , future χρισθήσομαι : aorist ἐχρίσθην : perfect κέχρῑμαι pluperfect ἐκέχριστο false reading in ; 3rd.pers. plural ἐκέχριντο . [Even in present and imperfect ι is long, ; χρῐει only in late Poets, as future and all other tenses ῑ without exception, whence the proper accent. is χρῖσαι, κεχρῖσθαι, χρῖσμα, etc.:— especially of the human body, hence,","lookup"
"G5548","I","rub","or as was done after bathing, frequently in ; of a dead body, χρῖεν ἐλαίῳ ; a suppliant, ; πέπλον χ. or with poison, :— middle , with accusative _of things_, ἰοὺς χρίεσθαι (i. e. poison) arrows, :— passive , χρίεσθαι ὑπὸ τοῦ ἡλίου ; βακκάριδι κεχριμένος Magnes [same place]; συκαμίνῳ τὰς γνάθους κεχριμέναι","lookup"
"G5548","I","anoint with scented unguents","or as was done after bathing, frequently in ; of a dead body, χρῖεν ἐλαίῳ ; a suppliant, ; πέπλον χ. or with poison, :— middle , with accusative _of things_, ἰοὺς χρίεσθαι (i. e. poison) arrows, :— passive , χρίεσθαι ὑπὸ τοῦ ἡλίου ; βακκάριδι κεχριμένος Magnes [same place]; συκαμίνῳ τὰς γνάθους κεχριμέναι","lookup"
"G5548","I","oil","or as was done after bathing, frequently in ; of a dead body, χρῖεν ἐλαίῳ ; a suppliant, ; πέπλον χ. or with poison, :— middle , with accusative _of things_, ἰοὺς χρίεσθαι (i. e. poison) arrows, :— passive , χρίεσθαι ὑπὸ τοῦ ἡλίου ; βακκάριδι κεχριμένος Magnes [same place]; συκαμίνῳ τὰς γνάθους κεχριμέναι","lookup"
"G5548","I","anoint","or as was done after bathing, frequently in ; of a dead body, χρῖεν ἐλαίῳ ; a suppliant, ; πέπλον χ. or with poison, :— middle , with accusative _of things_, ἰοὺς χρίεσθαι (i. e. poison) arrows, :— passive , χρίεσθαι ὑπὸ τοῦ ἡλίου ; βακκάριδι κεχριμένος Magnes [same place]; συκαμίνῳ τὰς γνάθους κεχριμέναι","lookup"
"G5548","I","rub","or as was done after bathing, frequently in ; of a dead body, χρῖεν ἐλαίῳ ; a suppliant, ; πέπλον χ. or with poison, :— middle , with accusative _of things_, ἰοὺς χρίεσθαι (i. e. poison) arrows, :— passive , χρίεσθαι ὑπὸ τοῦ ἡλίου ; βακκάριδι κεχριμένος Magnes [same place]; συκαμίνῳ τὰς γνάθους κεχριμέναι","lookup"
"G5548","I","infect","or as was done after bathing, frequently in ; of a dead body, χρῖεν ἐλαίῳ ; a suppliant, ; πέπλον χ. or with poison, :— middle , with accusative _of things_, ἰοὺς χρίεσθαι (i. e. poison) arrows, :— passive , χρίεσθαι ὑπὸ τοῦ ἡλίου ; βακκάριδι κεχριμένος Magnes [same place]; συκαμίνῳ τὰς γνάθους κεχριμέναι","lookup"
"G5548","I","anoint oneself","or as was done after bathing, frequently in ; of a dead body, χρῖεν ἐλαίῳ ; a suppliant, ; πέπλον χ. or with poison, :— middle , with accusative _of things_, ἰοὺς χρίεσθαι (i. e. poison) arrows, :— passive , χρίεσθαι ὑπὸ τοῦ ἡλίου ; βακκάριδι κεχριμένος Magnes [same place]; συκαμίνῳ τὰς γνάθους κεχριμέναι","lookup"
"G5548","I","one's","or as was done after bathing, frequently in ; of a dead body, χρῖεν ἐλαίῳ ; a suppliant, ; πέπλον χ. or with poison, :— middle , with accusative _of things_, ἰοὺς χρίεσθαι (i. e. poison) arrows, :— passive , χρίεσθαι ὑπὸ τοῦ ἡλίου ; βακκάριδι κεχριμένος Magnes [same place]; συκαμίνῳ τὰς γνάθους κεχριμέναι","lookup"
"G5548","I.2","anoint in token of consecration","in LXX, χ. τινὰ εἰς βασιλέα","lookup"
