"strong","strong_variant","sense_label","gloss","note","row_type"
"G1472","","I","anoint, anoint oneself",", ἀλείμμασιν ἑαυτόν :— middle , , ἰξοῦ ; ἐ. τὸ πρόσωπον:— passive ,","lookup"
"G1472","","II","sting, prick, injected by a sting",", τινί — passive , ἰὸς ἐγχρισθείς poison ,","lookup"
"G1472","","II.2","stick in",", τὸ κέντρον","lookup"
"G2025","","headword","ἐπι-χρίω","[ῑ],","headword"
"G2025","","I","anoint, besmear","ἐπιχρίοντες ἀλοιφῇ (i.e. τὸ τόξον) — middle , χρῶτ᾽ ἀπονίπτεσθαι καὶ ἐπιχρίεσθαι ἀλοιφῇ","lookup"
"G2025","","I.2","plaster over","τινι with a thing,","lookup"
"G2025","","II","lay on","ointment, μετὰ τὸ -χρισθῆναι ; κροτάφοις -χριόμενα variant in","lookup"
"G2025","","II.2","use for anointing","absolutely ,","lookup"
"G3462","","headword","μῠρίζω",",","headword"
"G3462","","I","rub with ointment, unguent, anoint, anoint oneself","or , :— middle , , :— passive , μεμυρις μένοι τὸ σῶμα 2.142a.","lookup"
"G3462","","II","to be fragrant with","in passive also, μ. τινί ..,","lookup"
"G5545","","headword","χρῖσμα","ατος, τό,","headword"
"G5545","","I","","(χρίω) later form for χρῖμα (which see), found in codices of","lookup"
"G5545","","II","anointing, unction","","lookup"
"G5545","","II.2","grace","in “NT” of spiritual χρῖσμα ἔχετε ἀπὸ τοῦ ἁγίου","lookup"
"G5545","","III","coating, plaster","of wall,","lookup"
"G5547","","headword","χριστός",", ή, όν,","headword"
"G5547","","I","to be rubbed on, used as ointment, salve, anointing","(χρίω) or opposed to πιστός, ; τὸ ἔλαιον τὸ χ. oil,","lookup"
"G5547","","II","anointed","of persons, ὁ ἱερεύς ὁ χ.","lookup"
"G5547","","II.2","","especially of the Kings of Israel, ὁ χ. Κυρίου; plural , of the patriarchs,","lookup"
"G5547","","II.3","NT, Messiah","in ὁ χ. the ; then used as proper name of Jesus, Ἰησοῦς χ.","lookup"
"G5548","","headword","χρίω",",","headword"
"G5548","","I","touch the surface of a body slightly, graze","Epic dialect imperfect χρῖον : future χρίσω : aorist ἔχρῑσα , Epic dialect χρῖσα : perfect κέχρῑκα :— middle , future χρίσομαι aorist participle χρῑσάμενος:— passive , future χρισθήσομαι : aorist ἐχρίσθην : perfect κέχρῑμαι pluperfect ἐκέχριστο false reading in ; 3rd.pers. plural ἐκέχριντο . [Even in present and imperfect ι is long, ; χρῐει only in late Poets, as future and all other tenses ῑ without exception, whence the proper accent. is χρῖσαι, κεχρῖσθαι, χρῖσμα, etc.:— especially of the human body, hence,","lookup"
