"lemma_key","sort","sense_code","gloss","verse_refs","note","row_type"
"G0152","0","","dishonorable conduct","","","lookup"
"G0153","0","","to be ashamed","2Co.10.8; Php.1.20, 1; 1Jn.2.28; Luk.16.3  ","","lookup"
"G0153","0","","dishonored","2Co.10.8; Php.1.20, 1; 1Jn.2.28; Luk.16.3  ","","lookup"
"G0153","0","","Pe.4.16","2Co.10.8; Php.1.20, 1; 1Jn.2.28; Luk.16.3  ","","lookup"
"G0153","0","","with inf.","2Co.10.8; Php.1.20, 1; 1Jn.2.28; Luk.16.3  ","","lookup"
"G0154","0","","to ask","Act.7.46","","lookup"
"G0154","0","","request","Act.7.46","","lookup"
"G0154","0","","demand","Act.7.46","","lookup"
"G0154","0","","desire","Act.7.46","","lookup"
"G0156","0","","(legal) charge","","","lookup"
"G0156","0","","reason","","","lookup"
"G0156","0","","cause","","","lookup"
"G0156","1","","cause","","","lookup"
"G0156","1","","motive","","","lookup"
"G0156","1","","incitement","","","lookup"
"G0156","1","","accusation","","","lookup"
"G0156","1","","charge","","","lookup"
"G0156","1","","crime","","","lookup"
"G0156","1","","case","","","lookup"
"G0158","0","","causative","Heb.5.9","αἴτιος , or τὸ αἴτιον , equivalent to aijtiva basis, reason or cause (for legal charges)","lookup"
"G0158","0","","an author","Heb.5.9","αἴτιος , or τὸ αἴτιον , equivalent to aijtiva basis, reason or cause (for legal charges)","lookup"
"G0158","0","","causer","Heb.5.9","αἴτιος , or τὸ αἴτιον , equivalent to aijtiva basis, reason or cause (for legal charges)","lookup"
"G0159","0","","causer","","","lookup"
"G0159","0","","the originator of","","","lookup"
"G0165","0","","eternity","","","lookup"
"G0165","0","","age (time period)","","","lookup"
"G0165","0","","this age can mean the universe or even the current world system","","","description"
"G0165","0","","the god of this age refers to the devil","","","description"
"G0165","1","","a period of time of significant character","Heb.1.2","primarily hence, or ὁ αἰών , as also, οἱ αἰῶνες , ὁ αἰῶν τῶν αἰώνων , οἱ αἰῶνες τῶν αἰώνων ; by an Aramaism οἱ αἰῶνες","description"
"G0165","1","","life","Heb.1.2","primarily hence, or ὁ αἰών , as also, οἱ αἰῶνες , ὁ αἰῶν τῶν αἰώνων , οἱ αἰῶνες τῶν αἰώνων ; by an Aramaism οἱ αἰῶνες","lookup"
"G0165","1","","an era","Heb.1.2","primarily hence, or ὁ αἰών , as also, οἱ αἰῶνες , ὁ αἰῶν τῶν αἰώνων , οἱ αἰῶνες τῶν αἰώνων ; by an Aramaism οἱ αἰῶνες","lookup"
"G0165","1","","an age","Heb.1.2","primarily hence, or ὁ αἰών , as also, οἱ αἰῶνες , ὁ αἰῶν τῶν αἰώνων , οἱ αἰῶνες τῶν αἰώνων ; by an Aramaism οἱ αἰῶνες","lookup"
"G0165","1","","a state of things marking an age","Heb.1.2","primarily hence, or ὁ αἰών , as also, οἱ αἰῶνες , ὁ αἰῶν τῶν αἰώνων , οἱ αἰῶνες τῶν αἰώνων ; by an Aramaism οἱ αἰῶνες","description"
"G0165","1","","era","Heb.1.2","primarily hence, or ὁ αἰών , as also, οἱ αἰῶνες , ὁ αἰῶν τῶν αἰώνων , οἱ αἰῶνες τῶν αἰώνων ; by an Aramaism οἱ αἰῶνες","lookup"
"G0165","1","","the present order of nature","Heb.1.2","primarily hence, or ὁ αἰών , as also, οἱ αἰῶνες , ὁ αἰῶν τῶν αἰώνων , οἱ αἰῶνες τῶν αἰώνων ; by an Aramaism οἱ αἰῶνες","description"
"G0165","1","","the natural condition of man","Heb.1.2","primarily hence, or ὁ αἰών , as also, οἱ αἰῶνες , ὁ αἰῶν τῶν αἰώνων , οἱ αἰῶνες τῶν αἰώνων ; by an Aramaism οἱ αἰῶνες","description"
"G0165","1","","the world","Heb.1.2","primarily hence, or ὁ αἰών , as also, οἱ αἰῶνες , ὁ αἰῶν τῶν αἰώνων , οἱ αἰῶνες τῶν αἰώνων ; by an Aramaism οἱ αἰῶνες","lookup"
"G0165","1","","illimitable duration","Heb.1.2","primarily hence, or ὁ αἰών , as also, οἱ αἰῶνες , ὁ αἰῶν τῶν αἰώνων , οἱ αἰῶνες τῶν αἰώνων ; by an Aramaism οἱ αἰῶνες","lookup"
"G0165","1","","eternity","Heb.1.2","primarily hence, or ὁ αἰών , as also, οἱ αἰῶνες , ὁ αἰῶν τῶν αἰώνων , οἱ αἰῶνες τῶν αἰώνων ; by an Aramaism οἱ αἰῶνες","lookup"
"G0165","1","","the material universe","Heb.1.2","primarily hence, or ὁ αἰών , as also, οἱ αἰῶνες , ὁ αἰῶν τῶν αἰώνων , οἱ αἰῶνες τῶν αἰώνων ; by an Aramaism οἱ αἰῶνες","lookup"
"G0167","0","","impurity","","","lookup"
"G0167","0","","a state of moral filthiness","","","description"
"G0167","0","","especially in relation to sexual sin","","","description"
"G0167","1","","uncleanness","1Th.2.3","of motive","lookup"
"G0167","1","","lewdness","1Th.2.3","of motive","lookup"
"G0168","0","","uncleanness","","","lookup"
"G0169","0","","impure","","","lookup"
"G0169","0","","unclean","","","lookup"
"G0169","0","","lewd","","","lookup"
"G0169","0","","foul","","","lookup"
"G0169","0","","evil","","","lookup"
"G0172","0","","free from evil","Rom.16.18; Heb.7.26","*","lookup"
"G0172","0","","innocent","Rom.16.18; Heb.7.26","*","lookup"
"G0172","0","","blameless","Rom.16.18; Heb.7.26","*","lookup"
"G0172","0","","simple","Rom.16.18; Heb.7.26","*","lookup"
"G0172","0","","unsuspecting","Rom.16.18; Heb.7.26","*","lookup"
"G0176","0","","not worthy of condemnation","Tit.2.8","primarily by a judge; hence, *","description"
"G0176","0","","cannot be criticized","Tit.2.8","primarily by a judge; hence, *","lookup"
"G0176","0","","irreprehensible","Tit.2.8","primarily by a judge; hence, *","lookup"
"G0181","0","","instability","Luk.21.9; 1Co.14.33; 2Co.6.5; Jas.3.16","primarily hence, ; 12:20; *","lookup"
"G0181","0","","an unsettled state","Luk.21.9; 1Co.14.33; 2Co.6.5; Jas.3.16","primarily hence, ; 12:20; *","lookup"
"G0181","0","","disorder","Luk.21.9; 1Co.14.33; 2Co.6.5; Jas.3.16","primarily hence, ; 12:20; *","lookup"
"G0181","0","","commotion","Luk.21.9; 1Co.14.33; 2Co.6.5; Jas.3.16","primarily hence, ; 12:20; *","lookup"
"G0181","0","","tumult","Luk.21.9; 1Co.14.33; 2Co.6.5; Jas.3.16","primarily hence, ; 12:20; *","lookup"
"G0181","0","","sedition","Luk.21.9; 1Co.14.33; 2Co.6.5; Jas.3.16","primarily hence, ; 12:20; *","lookup"
"G0181","0","","rebellion","Luk.21.9; 1Co.14.33; 2Co.6.5; Jas.3.16","primarily hence, ; 12:20; *","lookup"
"G0181","0","","riot","Luk.21.9; 1Co.14.33; 2Co.6.5; Jas.3.16","primarily hence, ; 12:20; *","lookup"
"G0185","0","","unmixed","Mat.10.16; Rom.16.19; Php.2.15","primarily hence, or ; *","lookup"
"G0185","0","","without mixture of vice","Mat.10.16; Rom.16.19; Php.2.15","primarily hence, or ; *","description"
"G0185","0","","deceit","Mat.10.16; Rom.16.19; Php.2.15","primarily hence, or ; *","lookup"
"G0185","0","","sincere","Mat.10.16; Rom.16.19; Php.2.15","primarily hence, or ; *","lookup"
"G0185","0","","blameless","Mat.10.16; Rom.16.19; Php.2.15","primarily hence, or ; *","lookup"
"G0185","0","","innocent","Mat.10.16; Rom.16.19; Php.2.15","primarily hence, or ; *","lookup"
"G0189","0","","(act of) hearing","","","lookup"
"G0189","0","","what is heard","","","lookup"
"G0189","1","","hearing","1Co.12.17; 2Pe.2.8; Mrk.7.35; Jhn.12.38; Rom.10.16; Mat.4.24","or ; announcement, ; , et al","lookup"
"G0189","1","","the act","1Co.12.17; 2Pe.2.8; Mrk.7.35; Jhn.12.38; Rom.10.16; Mat.4.24","or ; announcement, ; , et al","lookup"
"G0189","1","","sense of hearing","1Co.12.17; 2Pe.2.8; Mrk.7.35; Jhn.12.38; Rom.10.16; Mat.4.24","or ; announcement, ; , et al","lookup"
"G0189","1","","the instrument of hearing","1Co.12.17; 2Pe.2.8; Mrk.7.35; Jhn.12.38; Rom.10.16; Mat.4.24","or ; announcement, ; , et al","description"
"G0189","1","","the ear","1Co.12.17; 2Pe.2.8; Mrk.7.35; Jhn.12.38; Rom.10.16; Mat.4.24","or ; announcement, ; , et al","lookup"
"G0189","1","","a thing heard","1Co.12.17; 2Pe.2.8; Mrk.7.35; Jhn.12.38; Rom.10.16; Mat.4.24","or ; announcement, ; , et al","lookup"
"G0189","1","","instruction","1Co.12.17; 2Pe.2.8; Mrk.7.35; Jhn.12.38; Rom.10.16; Mat.4.24","or ; announcement, ; , et al","lookup"
"G0189","1","","doctrine","1Co.12.17; 2Pe.2.8; Mrk.7.35; Jhn.12.38; Rom.10.16; Mat.4.24","or ; announcement, ; , et al","lookup"
"G0189","1","","report","1Co.12.17; 2Pe.2.8; Mrk.7.35; Jhn.12.38; Rom.10.16; Mat.4.24","or ; announcement, ; , et al","lookup"
"G0191","0","","to hear","Mrk.4.3;; Luk.19.48;; Mat.18.15;; Act.4.19;; 1Co.14.2;; Mrk.4.33;; Jhn.8.43, 47","","lookup"
"G0191","0","","to hearken","Mrk.4.3;; Luk.19.48;; Mat.18.15;; Act.4.19;; 1Co.14.2;; Mrk.4.33;; Jhn.8.43, 47","","lookup"
"G0191","0","","listen to","Mrk.4.3;; Luk.19.48;; Mat.18.15;; Act.4.19;; 1Co.14.2;; Mrk.4.33;; Jhn.8.43, 47","","lookup"
"G0191","0","","to heed","Mrk.4.3;; Luk.19.48;; Mat.18.15;; Act.4.19;; 1Co.14.2;; Mrk.4.33;; Jhn.8.43, 47","","lookup"
"G0191","0","","obey","Mrk.4.3;; Luk.19.48;; Mat.18.15;; Act.4.19;; 1Co.14.2;; Mrk.4.33;; Jhn.8.43, 47","","lookup"
"G0191","0","","to understand","Mrk.4.3;; Luk.19.48;; Mat.18.15;; Act.4.19;; 1Co.14.2;; Mrk.4.33;; Jhn.8.43, 47","","lookup"
"G0191","0","","to take in or admit to mental acceptance","Mrk.4.3;; Luk.19.48;; Mat.18.15;; Act.4.19;; 1Co.14.2;; Mrk.4.33;; Jhn.8.43, 47","","description"
"G0192","0","","intemperance","Mat.23.25; 1Co.7.5","; *","lookup"
"G0192","0","","self-indulgence","Mat.23.25; 1Co.7.5","; *","lookup"
"G0192","0","","unruly appetite","Mat.23.25; 1Co.7.5","; *","lookup"
"G0192","0","","lustfulness","Mat.23.25; 1Co.7.5","; *","lookup"
"G0192","0","","lack of self-control","Mat.23.25; 1Co.7.5","; *","lookup"
"G0193","0","","without self-control","2Ti.3.3","","lookup"
"G0193","0","","intemperate","2Ti.3.3","","lookup"
"G0194","0","","undiluted (of wine not watered down)","","","description"
"G0194","1","","unmixed","Rev.14.10","wine, *","lookup"
"G0194","1","","unmingled","Rev.14.10","wine, *","lookup"
"G0198","0","","to inquire accurately","Mat.2.7, 16","or , cf. 8)*","lookup"
"G0198","0","","diligently","Mat.2.7, 16","or , cf. 8)*","lookup"
"G0198","0","","find out exactly","Mat.2.7, 16","or , cf. 8)*","lookup"
"G0212","0","","boasting","","","lookup"
"G0212","0","","pretension","","","lookup"
"G0212","0","","arrogance","","","lookup"
