strongs_number,transliteration,language,owner_count,owner_registries
G2371,thumomacheō,Greek,3,"4-anger,115-passion,178-wrath"
G2556H,kakos,Greek,3,"183-heart,57-evil,189-malice"
G2564H,kaleō,Greek,3,"43-desire,212-pray,19-calling"
G2705,katafileō,Greek,3,"103-love,3-ambition,99-kindness"
G3116,makrothumōs,Greek,3,"116-patience,115-passion,178-wrath"
G3327,metabainō,Greek,3,"135-repentance,209-likeness,202-transformation"
G3329,metagō,Greek,3,"135-repentance,209-likeness,202-transformation"
G3331,metathesis,Greek,3,"135-repentance,209-likeness,202-transformation"
G3332,metairō,Greek,3,"135-repentance,209-likeness,202-transformation"
G3334,metakineō,Greek,3,"135-repentance,209-likeness,202-transformation"
G3335,metalambanō,Greek,3,"135-repentance,209-likeness,202-transformation"
G3337,metallassō,Greek,3,"135-repentance,209-likeness,202-transformation"
G3344,metastrefō,Greek,3,"135-repentance,209-likeness,202-transformation"
G3346,metatithēmi,Greek,3,"135-repentance,209-likeness,202-transformation"
G3642,oligopsuchos,Greek,3,"182-Soul,183-heart,184-spirit"
G3711,orgilos,Greek,3,"4-anger,205-resentment,178-wrath"
G3950,parorgismos,Greek,3,"4-anger,205-resentment,178-wrath"
G4253,pro,Greek,3,"78-hope,173-will,163-trust"
G4388,protithēmi,Greek,3,"34-covenant,126-purpose,1-abomination"
G4422,ptoeō,Greek,3,"61-fear,11-awe,138-reverence"
G4426,pturomai,Greek,3,"61-fear,11-awe,138-reverence"
G4442,pur,Greek,3,"56-envy,96-jealousy,181-zeal"
G4443,pura,Greek,3,"56-envy,96-jealousy,181-zeal"
G4445,puressō,Greek,3,"56-envy,96-jealousy,181-zeal"
G4446,puretos,Greek,3,"56-envy,96-jealousy,181-zeal"
G4447,purinos,Greek,3,"56-envy,96-jealousy,181-zeal"
G4448,puroō,Greek,3,"56-envy,96-jealousy,181-zeal"
G4449,purrazō,Greek,3,"56-envy,96-jealousy,181-zeal"
G4450,purros,Greek,3,"56-envy,96-jealousy,181-zeal"
