strongNumber,stepGloss,stepTransliteration,language,count,stem_key
H4001,subjugation,me.vu.sah,Hebrew,3,subj
H4071,pile,me.du.rah,Hebrew,2,pile
H4087,dunghill,mad.me.nah,Hebrew,1,dung
H4098,threshed,me.du.shah,Hebrew,1,thre
H4151,ranks,mo.ad,Hebrew,1,rank
H4155,gloom,mu.aph,Hebrew,1,gloo
H4160,extortioner,mets,Hebrew,1,exto
H4214,pitchfork,miz.reh,Hebrew,2,pitc
H4228,girding,ma.cha.go.ret,Hebrew,1,gird
H4292,broom,mat.a.te,Hebrew,1,broo
H4293,slaughter,mat.be.ach,Hebrew,1,slau
H4294J,tribe: stick,mat.teh,Hebrew,2,trib
H4298,spread,mut.tah,Hebrew,1,spre
H4384,ruins,makh.she.lah,Hebrew,2,ruin
H4412,lodge,me.lu.nah,Hebrew,2,lodg
H4547,highway,mas.lul,Hebrew,1,high
H4563,shelter,mis.tor,Hebrew,1,shel
H4564,hiding,mas.ter,Hebrew,1,hid
H4576,hoe,ma.der,Hebrew,1,hoe
H4588,gloom,ma.uph,Hebrew,1,gloo
H4594,mantle,ma.a.teh,Hebrew,1,mant
H4596,heap,me.i,Hebrew,1,heap
H4621,axe,ma.a.tsad,Hebrew,2,axe
H4674,entrenchment,muts.tsav,Hebrew,1,entr
H4685D,stronghold,me.tso.dah,Hebrew,2,stro
H4702,bed,mats.tsa,Hebrew,1,bed
H4724,reservoir,miq.vah,Hebrew,1,rese
H4741,plane,maq.tsu.ah,Hebrew,1,plan
H4750,cucumber field,miq.shah,Hebrew,2,cucu
H4752,drop,mar,Hebrew,1,drop
H4858,smoke,mas.sa.ah,Hebrew,1,smok
H4881B,hedge,me.suk.kah,Hebrew,1,hedg
H4883,saw,mas.s.vor,Hebrew,1,saw
H4939,bloodshed,mis.pach,Hebrew,1,bloo
H4963,straw,mat.ben,Hebrew,1,stra
H5054,brightness,ne.go.hah,Hebrew,1,brig
H5097,watering,na.ha.lol,Hebrew,1,wate
H5183B,descent,na.chat,Hebrew,1,desc
H5189,tendril,ne.ti.shah,Hebrew,3,tend
H5213,spark,ni.tsots,Hebrew,1,spar
H5285,thorn bush,na.a.tsuts,Hebrew,2,thor
H5299A,sieve,na.phah,Hebrew,1,siev
H5311,storm,ne.phets,Hebrew,1,stor
H5357,cleft,na.qiq,Hebrew,3,clef
H5363,shaking,no.qeph,Hebrew,2,shak
H5364,rope,niq.pah,Hebrew,1,rope
H5430,boot,se.on,Hebrew,1,boot
H5478,offal,su.chah,Hebrew,1,off
H5483A,swallow,sus,Hebrew,5,swal
H5580,moth,sas,Hebrew,1,moth
H5636,nettle,sir.pad,Hebrew,1,nett
H5693,crane,a.gur,Hebrew,2,cran
H5764,infant,ul,Hebrew,2,infa
H5868B,heat,a.yam,Hebrew,1,heat
H5926,stammerer,il.leg,Hebrew,1,stam
H6110,defense,a.tsu.mah,Hebrew,1,defe
H6121B,steep,a.qov,Hebrew,1,stee
H6183,cloud,a.riph,Hebrew,1,clou
H6259,ready,a.tud,Hebrew,4,read
H6287,headdress,pe.er,Hebrew,7,head
H6288B,bough,pu.rah,Hebrew,1,boug
H6333,winepress,pu.rah,Hebrew,2,wine
H6360,hammer,pat.tish,Hebrew,3,hamm
H6495,opening,pe.qach-qo.ach,Hebrew,2,open
H6512,mole,pe.rah,Hebrew,1,mole
H6683,deep,tsu.lah,Hebrew,1,deep
H6704,parched,tsi.cheh,Hebrew,1,parc
H6710,scorched,tsach.tsa.chah,Hebrew,1,scor
H6724,dryness,tsa.von,Hebrew,2,dry
H6733,flower,tsi.tsah,Hebrew,1,flow
H6767A,buzzing,tsil.tsal,Hebrew,1,buzz
H6802,toss,tse.ne.phah,Hebrew,1,tos
H6807B,bracelette,tse.a.dah,Hebrew,1,brac
H6843,diadem/doom,tse.phi.rah,Hebrew,3,diad
H6844,rug,tsa.phit,Hebrew,1,rug
H6848A,serpent,tse.pha,Hebrew,1,serp
H6848B,serpent,tsiph.o.ni,Hebrew,4,serp
H6849,offshoot,tse.phi.ah,Hebrew,1,offs
H6892B,vomit,qi,Hebrew,3,vomi
H6907,dreg,qub.ba.at,Hebrew,2,dreg
H6980,web,qur,Hebrew,2,web
