"strong","strong_variant","mounce_parsed","row_type"
"G2114","","to keep up one’s courage; to be happy, cheerfultake heart","description"
"G2293","","take heart!, take courage!, cheer up!","description"
"G2294","","encouragement, courage","lookup"
"G6326","","courage; courageous","lookup"
"G1242","","covenant, a solemn agreement between two parties; will, testament, a legal document by which property is transferred to heirs, usually upon death (Heb 9:16)","description"
"G1303","","to make a covenant or a will; to confer, assign","description"
"G2787","G",": covenant","lookup"
"G2787","G","ark, box, chest","lookup"
"G4934","","(middle) to join in an accusation, join in an attack accuse","description"
"G0866","","not loving money, not greedy","description"
"G1937","","to long for, desire; covet, lust","description"
"G1939","","desire, longing (in contexts where the desire is positive and proper); coveting, craving, lusting (in contexts where the desire is immoral and sinful)","description"
"G2206","","to be earnest, eager","description"
"G3713","","(middle) to set one’s heart on, strive for, aspire to, desire","description"
"G4123","","greedy person","lookup"
"G4124","","greediness, avarice","lookup"
"G5366","","money-loving, avaricious, greedy","lookup"
"G0766","","debauchery, sensuality, lewdness","lookup"
"G0810","","debauchery, dissipation, wildness","lookup"
"G0811","","wildly, in debauchery, in dissipation","description"
"G0539","","deception, deceitfulness","lookup"
"G1386","","deceitful, dishonest, tricky","lookup"
"G1387","","to practice deceit, deceive","description"
"G1388","","deceit","lookup"
"G3834","","cunning, craftiness","lookup"
"G4106","","error, delusion, deception","lookup"
"G4108","","deceiving, leading astray; (n.) deceiver, imposter; figuratively extensions of the base meaning ""to wander off a path,"" not found in the NT","description"
"G6957","","deceit","lookup"
"G0234","","pollution, ritually defiled","lookup"
"G0449","","unwashed","lookup"
"G2839","G",": unsanctified","lookup"
"G2839","G","common; (ceremonially) unclean, impure, unholy","description"
"G2840","","to make (ceremonially) unclean, impure; to defile profane","description"
"G3392","","to pollute, stain, defile; (passive) to be defiled, corrupted, become ceremonially unclean; this refers to both ceremonial and moral uncleanness","description"
"G3435","","to defile, soil, stain, make impure","description"
"G3436","","contamination, defilement","lookup"
"G4510","","to defile, pollute","lookup"
"G4695","","to corrupt; (passive) to be stained, defiled stain","description"
"G7121","","to thoroughly defile","lookup"
"G7170","","to defile","lookup"
"G8327","","defilement","lookup"
"G0020","","delight, great joy","lookup"
"G2234","","gladly, with delight; in the superlative, most gladly, with utter delight","description"
"G4913","","to delight in agreement","description"
"G5463","","to rejoice","lookup"
"G5479","","joy, rejoicing, happiness, gladness","description"
"G7936","","to delight","lookup"
"G0154","","to ask, ask for (of other humans or God), demand","description"
"G0701","","pleasing, desirable, right","lookup"
"G1013","","plan, will, choice","lookup"
"G1014","","to wish, will, desire; to choose, determine, plan","description"
"G1809","","(middle) to ask for","description"
"G1934","","to look for, run after, seek earnestly","description"
"G1938","","one who desires, sets heart on (evil)desirer","description"
"G1971","","to long for, crave, desire","description"
"G1972","","longing (for)","lookup"
"G1974","","longing, desire","lookup"
"G2065","","to ask; beg, urge; pray","description"
"G2107","","goodwill, good purpose, favor, pleasure, desire","description"
"G21415","","desirable","lookup"
"G2212","","to look for, seek out; to try to obtain, desire to possess, strive for","description"
"G2307","","will, decision, desire","lookup"
"G2309","","to will, decide, want to; wish, desire","description"
"G2442","","to desire, long for","description"
"G2691","","to be filled with desires that conflict with dedication to someonefeel desirous","description"
"G3715","","lust, desire","lookup"
"G7410","","desire","lookup"
"G7411","","desirable","lookup"
"G0560","","to expect nothing in return","description"
"G1820","","(middle) to despair; (passive) to be in despair","description"
"G0472","","to be devoted, hold firmly to; pay attention to","description"
"G1872","","to follow after, accompany; be devoted to","description"
"G2138","","submissive, obedient, compliant","lookup"
"G2145","","devoted, devotion, service devoted to God","description"
"G4043","","to walk (around); to live, conduct one’s life","description"
"G4291","","(active/middle) to manage, direct, lead; (middle) to devote oneself, busy oneself to be devoted","description"
"G4337","","to watch out, be on guard, beware; to pay attention, devote, apply oneself","description"
"G4342","","to join, adhere attend to; to be ready; to give attention, be faithful; to spend much time together","description"
"G4574","","object of worship; some translate as a place of worship: sanctuary","description"
"G4980","","to devote oneself to; to be unoccupied, stand empty","description"
"G5021","","(active/middle) to appoint, determine, arrange; devote; (passive) to be established, appointed, assigned","description"
"G5387","","devoted, loving dearly","lookup"
"G1391","","This word has a wide range of meanings in the NT, corresponding closely the H3519: glory, splendor, brilliance, from the base meaning of the awesome light that radiates from God’s presence and is associated with his acts of power; honor, praise, speaking of words of excellence and assigning highest status to God","description"
"G4586","","worthy of respect, noble","description"
"G4587","","holiness, seriousness, respect dignity","description"
"G8117","","dignity","lookup"
"G0144","","insight","lookup"
"G0145","","sense, faculty","lookup"
"G0350","","to examine, judge (in both a general and a legal sense)","description"
"G1252","","to make a distinction, judge a dispute; (middle/passive) to doubt, hesitate, waver","description"
"G1253","","distinguishing, differentiation; passing judgment discernment","description"
"G1260","","to think, wonder about; to talk, discuss, argue","description"
"G1381","","testing, trying, examination","lookup"
"G2924","","able to discern or judge discerning","description"
"G4907","","understanding, insight; intelligence, the faculty of comprehension, often referring to wisdom and insight in spiritual matters","description"
"G4908","","intelligent, learned, with good sense","description"
"G0506","","rebellious, disobedient; not made subject to, independent","description"
"G0543","","disobedience","lookup"
"G0544","","to disobey, be disobedient","description"
"G0545","","disobedient","lookup"
"G3876","","disobedience, unwillingness to hear","description"
"G0085","","to be troubled, distressed","description"
"G0318","","necessity","lookup"
"G2346","","(act.) to press upon, crowd up to; cause trouble; (passive) to be narrow; to be pressed, troubled, persecuted","description"
"G2669","","(passive) to be oppressed, distressed oppress","description"
"G3076","","(act.) to cause sorrow, grief; (passive) to be sorrowful, sad, distressed grieve","description"
