"strong","strong_variant","mounce_parsed","row_type"
"G3471","","(act.) to make foolish, show one foolish; (pass.) to become a fool, be made a fool; (passive) to become saltless, tasteless, inert insipid","description"
"G3472","","foolishness","lookup"
"G3473","","foolish talkboorishness","lookup"
"G3474","","foolish","lookup"
"G0630","G",": release","lookup"
"G0630","G","to release (forgive, grant clemency); divorce, send away","description"
"G0859","","forgiveness, pardon, release, cancellation of a debt","description"
"G0863","G",": leave/abandon","lookup"
"G0863","G","to forgive, pardon, remit, cancel; to leave, abandon; to allow, permit, tolerate","description"
"G0863","H",": forgive","lookup"
"G0863","H","to forgive, pardon, remit, cancel; to leave, abandon; to allow, permit, tolerate","description"
"G0863","I",": permit/release","lookup"
"G0863","I","to forgive, pardon, remit, cancel; to leave, abandon; to allow, permit, tolerate","description"
"G2436","","forgiving, gracious; (may God be) gracious!, God forbid!","description"
"G5483","","to give grace; to forgive, cancel (a debt); to grant; to hand over into custody","description"
"G0018","","one who does good","description"
"G0572","","Formally ""the quality of singleness,"" translated ""generosity,"" the state of giving things in a manner that shows liberality; ""sincerity,"" the moral quality of honesty expressing singleness of purpose or motivation","description"
"G1932","","gentleness, with an implication of tolerance and graciousness","description"
"G1933","","gentle, considerate","lookup"
"G2261","","gentle, kind","lookup"
"G3356","","to deal gentlybe gentle","description"
"G4235","","gentle","lookup"
"G4236","","gentleness","lookup"
"G4239","","gentle, meek, the positive moral quality of dealing with people in a kind manner, with humility and consideration","description"
"G4240","","gentleness, meekness, humility","lookup"
"G5544","","kindness, goodness","lookup"
"G6073","","gentleness, meekness","lookup"
"G8878","","gentle-minded","lookup"
"G0014","","to do good","lookup"
"G0015","","to do good, to do right","description"
"G0016","","doing good","lookup"
"G0017","","one who does good, right","description"
"G0019","","goodness","lookup"
"G0865","","not loving good","lookup"
"G0979","","(everyday) life; what one lives on, property, possessions","description"
"G2097","","to preach (bring) the good news (gospel), often with a focus on the content of the message which is brought. In the NT it always refers to the death, burial, resurrection, and witness about Jesus Christ, including its implications for humankind’s relationship to God","description"
"G2108","","act of kindness, good deed","description"
"G2109","","to do good to","description"
"G2140","","doing good","lookup"
"G2162","","good report","lookup"
"G2566","","good, right; beautiful, fine, excellent","description"
"G2567","","teaching what is good","description"
"G2569","","to do what is right or good","description"
"G2570","G","- properly, beautiful, but chiefly (figuratively) good (literally or morally)i.e. valuable or virtuous","description"
"G2570","H","Fair Havens, a port on Crete","description"
"G3776","","wealth; estate, property","lookup"
"G4147","","to be rich; (pf.) to have acquired wealth","description"
"G4283","","to announcepreach the gospel in advance","description"
"G4469","","Raca (a term of abuse)","description"
"G4632","","possession, merchandise, object, thing; jar, vessel, dish; a general term that can refer to a human being","description"
"G5223","","property, goods, possessions","lookup"
"G5224","","to have, possess; (n.) possessions; to be, exist","description"
"G5358","","loving what islover of good","description"
"G5543","","easy, good; kind, loving, benevolent","description"
"G6107","","to do good","lookup"
"G7527","","good news","lookup"
"G7534","","to enjoy good health","description"
"G7548","","to have good vine branches","description"
"G7559","","good-looking","lookup"
"G2143","","beauty","lookup"
"G5485","","grace, the state of kindness and favor toward someone, often with a focus on a benefit given to the object; by extension: gift, benefit; credit; words of kindness and benefit: thanks, blessing","description"
"G2169","","expression of thanks, thanksgiving, gratitude thankfulness","description"
"G0147","","in greediness for money","description"
"G0724","","greediness, confiscation, robbery, plunder","description"
"G3077","","sorrow, grief, pain","lookup"
"G3996","","to mourn, grieve (over)","description"
"G3997","","mourning, grief, sadness","lookup"
"G4727","","to groan, sigh; to grumble","description"
"G1690","","to warn sternly, rebuke harshly; to be deeply moved","description"
"G4726","","groan, sigh","lookup"
"G4959","","to join in groaning, groan together","description"
"G6697","","groaning","lookup"
"G7929","","to groan","lookup"
"G0156","","(legal) charge; reason, cause","description"
"G0159","","causer-","lookup"
"G0266","","sin, wrongdoing; usually any act contrary to the will and law of God","description"
"G1171","","terribly, fiercely","lookup"
"G1418","","- used only in composition as a prefix; hard, i.e. with difficulty","description"
"G1419","","hard to carry ponderous","description"
"G1421","","hard to explain abstruse","description"
"G1422","","- properly, fastidious about eating (peevish), i.e. (genitive case) impracticable","description"
"G1423","","hard, with difficultydifficultly","lookup"
"G1425","","hard to understand abstruse","description"
"G21419","","hardness","lookup"
"G2872","","to work, labor, give effort; to become tired, grow weary","description"
"G4456","","to harden, deaden, make dull","description"
"G4457","","hardening, stubbornness","lookup"
"G4641","","hardness of heart, stubbornness, obstinacy","description"
"G4642","","hard, harsh","lookup"
"G4643","","hardness, stubbornness","lookup"
"G6980","","hard of hearing","lookup"
"G2189","","hostility, hatred, antagonism","lookup"
"G7590","","hatred","lookup"
"G8332","","hatred","lookup"
"G0038","","holiness","lookup"
"G0039","G","holy (moral quality), consecrated ([ceremonially] acceptable to God); holy person/people = saint(s), holy place = sanctuary","description"
"G0039","H","holy (moral quality), consecrated ([ceremonially] acceptable to God); holy person/people = saint(s), holy place = sanctuary","description"
"G0040","H",": saint/believer","lookup"
"G0040","H","holy","lookup"
"G0041","","holiness, a characteristic of God, shared by his people, requiring a lifestyle acceptable to God","description"
"G0042","","holiness, a characteristic of God, shared by his people, requiring a lifestyle acceptable to God","description"
