id,strong,mounce_parsed,row_type,deleted
406123,G1941,"(active/passive) to call (upon), name, be named; (middle) appeal to, call upon for aid",description,0
406124,G1951,(passive) to be called; (middle) to choose call,description,0
406125,G2028,"(passive) to be called, namedname",description,0
406126,G2036,"to say, said, the most general term for speaking in the NT, translated contextually with more specific words such as say, tell; ask, answer",description,0
406127,G2046,"- an alternate for G2036 in certain tenses; to utter, i.e. speak or say",description,0
406128,G2564G,: call/invite,lookup,0
406129,G2564G,"to call, invite, summon. The authority of the speaker dictates the nature of the calling (friends invite; kings summon). This is also translated ""to name,"" the giving of attribution to someone or something",description,0
406130,G2564H,: name,lookup,0
406131,G2564H,"to call, invite, summon. The authority of the speaker dictates the nature of the calling (friends invite; kings summon). This is also translated ""to name,"" the giving of attribution to someone or something",description,0
406132,G2821,"call, calling; situation, station in life",description,0
406133,G2822,"called, invited",lookup,0
406134,G2896,"call out,to cry out, shout, exclaim",description,0
406135,G3004H,: call/name,lookup,0
406136,G3004H,"- properly, to ""lay"" forth, i.e. (figuratively) relate (in words (usually of systematic or set discourse; whereas G2036 and G5346 generally refer to an individual expression or speech respectively; while G4483 is properly to break silence merely, and G2980 means an extended or random harangue)); by implication, to mean",description,0
