registry_word,strongNumber,language,stepTransliteration,stepGloss,cluster_code,cluster_name
being,G2865,Greek,komizō,to bring/be repaid,,
being,G2929,Greek,krustallizō,be clear,,
being,G2990,Greek,lanthanō,be hidden,,
being,G3195,Greek,mellō,to ensue,T2,Supplementary
being,G3322,Greek,mesoō,be in the middle,,
being,G3356,Greek,metriopatheō,be gentle,M09,Humility
being,G3415,Greek,mnaomai,to remember,M41,Remembrance
being,G3467,Greek,muōpazō,be nearsighted,,
being,G3471,Greek,mōrainō,be foolish,M16,Folly
being,G3489,Greek,nauageō,be shipwrecked,,
being,G3515,Greek,nēpiazō,be childlike,,
being,G3525,Greek,nēfō,be sober,M33,Peace
being,G3552,Greek,noseō,be sick,M24,Weakness
being,G3600,Greek,odunaō,be anguished,M03,Grief
being,G3716,Greek,orthopodeō,be upright,,
being,G3801,Greek,hhho ōn kai o ēn kai o erchomenos,"was, is, will be",,
being,G3873,Greek,parakeimai,be present,,
being,G3909,Greek,paratunchanō,be there,,
being,G3912,Greek,parafroneō,be insane,M16,Folly
being,G3918,Greek,pareimi,be present,,
being,G3939,Greek,paroikeō,be a stranger,,
being,G4020,Greek,periergazomai,be a busybody,,
being,G4104,Greek,pistoō,be convinced,M19,Trust
being,G4147,Greek,plouteō,be rich,M46,Abundance
being,G4176,Greek,politeuō,be a citizen,T2,Supplementary
being,G4241,Greek,prepō,be proper,,
being,G4243,Greek,presbeuō,be ambassador,,
being,G4360,Greek,prosochthizō,be angry,,
being,G4391,Greek,prouparchō,be formerly,,
being,G4409,Greek,prōteuō,be first,,
being,G4433,Greek,ptōcheuō,be poor,M46,Abundance
being,G4445,Greek,puressō,be feverish,,
being,G4449,Greek,purrazō,be (fiery) red,,
being,G4576,Greek,sebomai,be devout,M21,Prayer
being,G4583,Greek,selēniazomai,be epileptic,,
being,G4601,Greek,sigaō,be silent,M42,Speech
being,G4623,Greek,siōpaō,be quiet,M33,Peace
being,G4659,Greek,skuthrōpos,sad,,
being,G4704,Greek,spoudazō,be eager,M19,Trust
being,G4768,Greek,stugnazō,be gloomy,,
being,G4818,Greek,sullupeō,be grieved,M03,Grief
being,G4840,Greek,sumpareimi,be present with,,
being,G4851,Greek,sumferō,be profitable,,
being,G4894,Greek,suneidō,be aware,M15,Wisdom
being,G4895,Greek,suneimi,to accompany,,
