id,book,anchor_verse_id,start_chapter,start_verse,end_chapter,end_verse,ref,verse_count,rule,source,needs_review,created_at,deleted
18335,Rom,4376,10,20,10,20,Rom 10:20,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18336,Rom,4377,10,21,10,21,Rom 10:21,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18337,Rom,4378,11,1,11,2,Rom 11:1-2,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18338,Rom,18531,11,3,11,3,Rom 11:3,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18339,Rom,4380,11,4,11,4,Rom 11:4,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18340,Rom,23544,11,5,11,6,Rom 11:5-6,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18341,Rom,18456,11,7,11,7,Rom 11:7,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18342,Rom,22382,11,8,11,8,Rom 11:8,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18343,Rom,22383,11,10,11,10,Rom 11:10,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18344,Rom,4382,11,11,11,12,Rom 11:11-12,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18345,Rom,4383,11,13,11,13,Rom 11:13,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18346,Rom,24311,11,14,11,14,Rom 11:14,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18347,Rom,26511,11,15,11,15,Rom 11:15,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18348,Rom,6836,11,19,11,19,Rom 11:19,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18349,Rom,6837,11,20,11,20,Rom 11:20,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18350,Rom,22920,11,22,11,22,Rom 11:22,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18351,Rom,22570,11,23,11,23,Rom 11:23,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18352,Rom,18598,11,25,11,25,Rom 11:25,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18353,Rom,27093,11,26,11,26,Rom 11:26,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18354,Rom,16981,11,27,11,27,Rom 11:27,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18355,Rom,25524,11,28,11,28,Rom 11:28,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18356,Rom,9041,11,29,11,29,Rom 11:29,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18357,Rom,13709,11,30,11,32,Rom 11:30-32,3,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18358,Rom,14326,11,33,11,33,Rom 11:33,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18359,Rom,24253,11,34,11,34,Rom 11:34,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18360,Rom,9260,12,1,12,1,Rom 12:1,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18361,Rom,8060,12,2,12,2,Rom 12:2,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18362,Rom,4384,12,3,12,3,Rom 12:3,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18363,Rom,22677,12,6,12,6,Rom 12:6,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
